model,device,img,imgsz,iou,conf,time_ms,gpu_mem_mb,cpu_mem_mb
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.1,0.2,1749.7,445.2,692.9
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.1,0.2,423.3,804.2,11.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.1,0.2,430.8,857.4,4.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.1,0.2,404.8,792.7,-3.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.1,0.2,227.1,787.0,0.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.1,0.6,186.6,595.9,1.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.1,0.6,184.6,306.2,1.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.1,0.6,182.8,289.7,0.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.1,0.6,200.8,311.4,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.1,0.6,182.9,342.0,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.1,0.8,182.2,312.9,-8.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.1,0.8,178.9,246.9,7.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.1,0.8,177.9,241.4,4.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.1,0.8,198.3,224.0,2.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.1,0.8,178.5,251.0,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.3,0.2,216.4,550.8,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.3,0.2,224.3,938.4,2.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.3,0.2,219.7,947.9,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.3,0.2,218.3,864.1,-12.9
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.3,0.2,221.4,880.5,7.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.3,0.6,177.3,657.2,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.3,0.6,185.7,308.4,1.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.3,0.6,177.8,289.7,6.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.3,0.6,198.8,318.7,-14.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.3,0.6,179.7,345.2,7.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.3,0.8,171.4,315.2,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.3,0.8,176.6,246.9,1.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.3,0.8,174.0,241.4,6.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.3,0.8,198.2,224.0,-14.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.3,0.8,176.0,251.0,7.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.5,0.2,222.1,589.0,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.5,0.2,218.6,1014.8,1.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.5,0.2,213.4,999.4,6.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.5,0.2,219.5,919.6,-14.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.5,0.2,234.2,947.1,7.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.5,0.6,176.3,682.4,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.5,0.6,184.3,308.4,1.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.5,0.6,179.3,289.7,6.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.5,0.6,196.6,321.7,-14.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.5,0.6,181.8,348.5,7.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,1024,0.5,0.8,177.0,317.7,0.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,1024,0.5,0.8,181.5,246.9,1.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,1024,0.5,0.8,172.1,241.4,6.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,1024,0.5,0.8,198.7,224.0,-14.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,1024,0.5,0.8,176.5,251.0,7.1
