model,device,img,imgsz,iou,conf,time_ms,gpu_mem_mb,cpu_mem_mb
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.1,0.2,1571.1,91.7,669.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.1,0.2,105.4,95.6,8.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.1,0.2,104.6,96.9,6.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.1,0.2,315.2,90.5,-11.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.1,0.2,110.2,95.7,5.9
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.1,0.6,85.5,96.7,1.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.1,0.6,90.4,89.3,0.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.1,0.6,88.9,89.4,3.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.1,0.6,96.9,89.3,-8.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.1,0.6,86.0,91.9,3.1
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.1,0.8,92.9,89.3,1.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.1,0.8,80.5,88.5,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.1,0.8,93.4,88.5,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.1,0.8,104.7,88.8,-10.6
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.1,0.8,80.7,89.2,2.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.3,0.2,101.1,88.5,1.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.3,0.2,91.3,97.0,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.3,0.2,89.6,98.1,3.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.3,0.2,106.1,90.5,-15.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.3,0.2,83.1,96.0,7.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.3,0.6,78.5,96.8,1.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.3,0.6,82.5,89.3,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.3,0.6,85.0,89.4,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.3,0.6,88.9,89.3,-15.2
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.3,0.6,83.3,91.9,7.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.3,0.8,81.9,89.3,1.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.3,0.8,75.9,88.5,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.3,0.8,84.3,88.5,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.3,0.8,87.7,88.8,-10.6
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.3,0.8,75.6,89.2,2.8
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.5,0.2,83.5,88.5,1.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.5,0.2,84.5,97.6,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.5,0.2,83.9,98.4,3.3
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.5,0.2,89.5,90.5,-15.4
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.5,0.2,85.1,96.6,7.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.5,0.6,87.2,98.4,1.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.5,0.6,82.0,89.3,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.5,0.6,85.1,89.4,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.5,0.6,127.4,89.3,-15.2
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.5,0.6,100.2,91.9,7.7
FastSAM-s.pt,cuda,nyc_drone_birdseye_1.png,256,0.5,0.8,86.9,89.3,1.5
FastSAM-s.pt,cuda,nyc_drone_birdseye_2.png,256,0.5,0.8,79.7,88.5,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_3.png,256,0.5,0.8,80.3,88.5,3.0
FastSAM-s.pt,cuda,nyc_drone_birdseye_4.png,256,0.5,0.8,78.8,88.8,-10.6
FastSAM-s.pt,cuda,nyc_drone_birdseye_5.png,256,0.5,0.8,73.5,89.2,2.8
