model,model_type,device,img,imgsz,pred_iou_thresh,stability_score_thresh,time_ms,gpu_mem_mb,cpu_mem_mb
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.1,0.2,24831.2,2110.8,735.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.1,0.2,23050.3,2110.5,50.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.1,0.2,21555.6,2110.5,-41.4
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.1,0.2,20364.8,2110.5,17.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.1,0.2,19512.0,2110.4,8.5
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.1,0.6,19667.7,2110.4,19.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.1,0.6,20194.5,2110.5,1.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.1,0.6,20710.1,2110.5,-4.5
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.1,0.6,20485.6,2110.5,-11.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.1,0.6,22312.1,2110.4,0.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.1,0.8,24352.2,2110.4,19.6
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.1,0.8,24113.0,2110.5,0.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.1,0.8,24241.7,2110.5,-4.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.1,0.8,22125.9,2110.5,-11.9
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.1,0.8,19460.3,2110.4,-2.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.3,0.2,19693.6,2110.4,20.4
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.3,0.2,19514.0,2110.5,-17.9
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.3,0.2,20342.3,2110.5,12.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.3,0.2,21125.8,2110.5,-11.5
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.3,0.2,23256.1,2110.4,-1.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.3,0.6,25118.6,2110.4,16.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.3,0.6,20483.6,2110.5,0.3
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.3,0.6,21471.8,2110.5,-6.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.3,0.6,21021.8,2110.5,-11.9
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.3,0.6,20389.0,2110.4,-0.9
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.3,0.8,21956.0,2110.4,19.6
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.3,0.8,21043.1,2110.5,-18.1
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.3,0.8,21811.1,2110.5,11.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.3,0.8,21012.9,2110.5,-11.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.3,0.8,20416.6,2110.4,-2.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.5,0.2,20528.1,2110.4,18.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.5,0.2,26674.9,2110.5,1.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.5,0.2,24098.4,2110.5,2.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.5,0.2,25789.9,2110.5,-11.9
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.5,0.2,22931.2,2110.4,-2.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.5,0.6,22132.7,2110.4,10.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.5,0.6,23770.6,2110.5,1.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.5,0.6,22872.6,2110.5,-6.3
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.5,0.6,24278.6,2110.5,-5.9
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.5,0.6,24053.3,2110.4,-2.0
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_1.png,512,0.5,0.8,23478.5,2110.4,13.9
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_2.png,512,0.5,0.8,20648.8,2110.5,-11.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_3.png,512,0.5,0.8,26806.1,2110.5,5.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_4.png,512,0.5,0.8,24146.2,2110.5,-5.8
mobile_sam.pt,vit_t,cuda,nyc_drone_birdseye_5.png,512,0.5,0.8,23808.7,2110.4,-2.0
